,Features,Correlation
338,Cytoplasm.Cytoplasm_Correlation_K_DNA_Brightfield,0.68225
515,Cells.Cells_AreaShape_MeanRadius,0.6285000000000001
187,Cells.Cells_AreaShape_MaximumRadius,0.623
484,Cells.Cells_AreaShape_MedianRadius,0.62075
459,Cells.Cells_AreaShape_MinorAxisLength,0.60375
130,Cytoplasm.Cytoplasm_AreaShape_MinFeretDiameter,0.60075
1048,Cells.Cells_AreaShape_MinFeretDiameter,0.60075
825,Cytoplasm.Cytoplasm_Intensity_IntegratedIntensityEdge_Brightfield,0.5975
851,Nuclei.Nuclei_AreaShape_MedianRadius,0.58975
874,Cells.Cells_AreaShape_Area,0.589
770,Nuclei.Nuclei_AreaShape_MeanRadius,0.5874999999999999
295,Cells.Cells_Intensity_IntegratedIntensity_Brightfield,0.58375
565,Cytoplasm.Cytoplasm_AreaShape_Perimeter,0.58225
1094,Cytoplasm.Cytoplasm_AreaShape_MinorAxisLength,0.577
41,Cytoplasm.Cytoplasm_AreaShape_MeanRadius,0.57525
208,Cells.Cells_Neighbors_FirstClosestDistance_Adjacent,0.57375
311,Cytoplasm.Cytoplasm_AreaShape_MedianRadius,0.57325
1155,Cytoplasm.Cytoplasm_AreaShape_MaximumRadius,0.56875
1081,Cells.Cells_Intensity_IntegratedIntensityEdge_Brightfield,0.56575
535,Cytoplasm.Cytoplasm_AreaShape_Area,0.5632499999999999
